q,h,u,conc,q_b,u_b,E,D,R_n,Co,Hyp,coeff_3,t_cpu,case,d_median_input,
30.00023616,7.736507653,3.877749174,0.001187381,0.005341559,0.094651913,0.000863547,0.000863548,6.568581385,0.038777492,8,1,,1c,0.045,
40.00039648,9.18628102,4.354362379,0.001494909,0.008194911,0.122245296,0.001086312,0.001086312,6.023086645,0.043543624,8,1,,1c,0.045,
50.00058139,10.49923746,4.762305983,0.001753489,0.011110013,0.144955333,0.001273338,0.001273338,5.630038799,0.04762306,8,1,,1c,0.045,
60.00078745,11.71278804,5.122673377,0.001979055,0.014056867,0.164351822,0.001436274,0.001436274,5.327205553,0.051226734,8,1,,1c,0.045,
70.00101201,12.84960988,5.447714961,0.002180593,0.017020825,0.181350938,0.001581687,0.001581688,5.083369208,0.05447715,8,1,,1c,0.045,
80.00125332,13.92472588,5.745265938,0.002363727,0.019993871,0.196531803,0.001713685,0.001713686,4.880805563,0.057452659,8,1,,1c,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,18.34905465,0.006887404,12,1,,1d,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,15.11819363,0.009350998,12,1,,1d,0.045,
2,1.585553708,1.261388996,0,0,0,0,0,12.41596388,0.01261389,12,1,,1d,0.045,
5,2.690932914,1.858091658,0,0,0,0,0,9.53058335,0.018580917,12,1,,1d,0.045,
7.500008225,3.409528216,2.19972024,0.000183028,0.000156656,0.00569963,0.000113847,0.000113847,8.462582388,0.021997202,12,1,,1d,0.045,
10.00002718,4.036500112,2.477400446,0.00045365,0.00065809,0.020217692,0.000281967,0.000281967,7.771788347,0.024774005,12,1,,1d,0.045,
12.50005086,4.603338777,2.715431443,0.000679326,0.001278643,0.034435675,0.000421971,0.000421971,7.273016701,0.027154314,12,1,,1d,0.045,
15.00007858,5.126574393,2.925945754,0.000874906,0.001962045,0.047436322,0.000543162,0.000543162,6.888129931,0.029259458,12,1,,1d,0.045,
20.00014434,6.078850291,3.290119576,0.001205955,0.003433482,0.069979135,0.000747995,0.000747995,6.319817978,0.032901196,12,1,,1d,0.045,
25.00022186,6.940560728,3.602046411,0.001483514,0.004983378,0.088928064,0.00091944,0.00091944,5.909937141,0.036020464,12,1,63.359375,4e   ,0.045,
30.00030951,7.736532443,3.877746229,0.001725098,0.006577332,0.105265554,0.001068447,0.001068447,5.593906263,0.038777462,12,1,,1d,0.045,
40.00051075,9.186315991,4.354358242,0.002136065,0.00983735,0.132526911,0.001321466,0.001321467,5.127682264,0.043543582,12,1,,1d,0.045,
50.00074165,10.49928184,4.762301117,0.00248246,0.013147318,0.154904154,0.001534278,0.001534279,4.791739147,0.047623011,12,1,,1d,0.045,
60.00099798,11.71284046,5.122668425,0.002785198,0.016480913,0.17399848,0.001719931,0.001719933,4.532893861,0.051226684,12,1,,1d,0.045,
70.00127634,12.84966873,5.447710582,0.003056108,0.019825497,0.190728713,0.001885797,0.0018858,4.324468166,0.054477106,12,1,,1d,0.045,
80.00157455,13.92478956,5.745262735,0.0033026,0.02317431,0.205670599,0.002036495,0.002036498,4.151315182,0.057452627,12,1,,1d,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,13.16080729,0.006887404,20,1,,1e,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,10.84348141,0.009350998,20,1,,1e,0.045,
2,1.585553708,1.261388996,0,0,0,0,0,8.905314801,0.01261389,20,1,,1e,0.045,
5.000004974,2.690935721,1.858091568,0.000202895,8.05E-05,0.003037916,9.05E-05,9.05E-05,6.831540942,0.018580916,20,1,,1e,0.045,
7.500029829,3.409539156,2.199719518,0.000812137,0.000711834,0.021187435,0.000361613,0.000361613,6.057776254,0.021997195,20,1,,1e,0.045,
10.00006315,4.036517205,2.477398867,0.001291328,0.001534814,0.038568945,0.000574134,0.000574134,5.559309452,0.024773989,20,1,,1e,0.045,
12.50010334,4.603362624,2.715428777,0.001693255,0.002441289,0.053772492,0.000751907,0.000751907,5.199389188,0.027154288,20,1,,1e,0.045,
15.00014938,5.126605453,2.925941837,0.002043176,0.003394572,0.067115231,0.000906319,0.000906319,4.921637599,0.029259418,20,1,,1e,0.045,
20.00025633,6.078896445,3.290113018,0.002638608,0.005379858,0.089651342,0.001168306,0.001168307,4.511489977,0.03290113,20,1,,1e,0.045,
